id_venta,id_cliente,id_producto,id_vendedor,fecha_venta,cantidad,precio_unitario,canal,region,estado_entrega
36,398,24,25,2023-10-12,3,285.94,TIENDA,Sur,PENDIENTE
37,120,29,3,2025-04-08,1,223.86,APP,Sur,PENDIENTE
38,437,38,39,2025-06-09,4,471.05,WEB,Centro,CANCELADO
39,676,38,40,2023-01-07,3,102.49,APP,Centro,PENDIENTE
40,465,13,16,2025-02-16,3,77.78,APP,Sur,ENTREGADO
41,286,32,17,2025-04-05,3,104.78,TIENDA,Centro,CANCELADO
42,265,19,27,2023-06-13,1,310.96,TIENDA,Norte,PENDIENTE
43,320,17,10,2024-12-15,5,398.59,WEB,Norte,ENTREGADO
44,673,2,1,2024-03-08,2,377.71,WEB,Norte,ENTREGADO
45,376,18,50,2023-12-15,1,457.05,TIENDA,Centro,ENTREGADO
46,89,39,29,2023-10-12,2,371.56,WEB,Centro,PENDIENTE
47,654,27,18,2023-06-09,5,499.91,WEB,Centro,CANCELADO
48,203,14,32,2023-08-09,3,283.74,APP,Sur,CANCELADO
49,739,15,37,2025-02-20,2,497.53,WEB,Norte,CANCELADO
50,334,8,43,2023-12-11,2,278.0,TIENDA,Norte,PENDIENTE
51,222,9,33,2023-04-15,1,58.74,WEB,Norte,ENTREGADO
52,41,21,22,2023-04-05,5,406.13,APP,Centro,PENDIENTE
53,708,35,43,2024-01-25,4,445.32,TIENDA,Norte,PENDIENTE
54,68,14,11,2023-04-10,2,235.14,TIENDA,Sur,ENTREGADO
55,776,27,37,2024-01-03,1,91.45,TIENDA,Centro,CANCELADO
56,514,8,29,2025-05-17,3,469.67,APP,Centro,CANCELADO
57,637,35,20,2023-12-19,5,452.6,WEB,Sur,ENTREGADO
58,622,18,22,2024-09-10,3,146.19,WEB,Centro,ENTREGADO
59,598,14,32,2023-09-28,3,101.7,TIENDA,Centro,PENDIENTE
60,632,8,50,2025-04-06,4,64.98,WEB,Sur,PENDIENTE
61,127,8,8,2023-02-14,2,126.33,APP,Centro,ENTREGADO
62,255,37,22,2025-01-17,4,415.65,APP,Norte,CANCELADO
63,695,2,15,2024-04-15,1,299.83,TIENDA,Centro,ENTREGADO
64,16,17,35,2024-07-03,4,251.9,APP,Sur,ENTREGADO
65,477,13,16,2023-05-08,1,451.54,WEB,Centro,ENTREGADO
66,62,14,44,2024-01-23,2,183.99,APP,Norte,ENTREGADO
67,432,9,29,2023-03-22,2,243.84,TIENDA,Sur,PENDIENTE
68,670,27,34,2024-07-19,4,478.22,APP,Sur,ENTREGADO
69,268,20,20,2023-10-28,3,152.73,WEB,Norte,CANCELADO
70,35,38,13,2025-04-29,4,352.21,APP,Norte,ENTREGADO
71,779,12,13,2024-10-05,5,100.65,APP,Sur,ENTREGADO
72,576,22,31,2024-09-25,2,286.11,WEB,Centro,CANCELADO
73,494,37,21,2025-06-25,5,428.67,TIENDA,Norte,ENTREGADO
74,562,39,50,2025-06-01,5,163.24,WEB,Centro,ENTREGADO
75,469,31,30,2024-01-06,5,104.35,WEB,Sur,CANCELADO
76,767,13,48,2024-08-14,3,439.84,APP,Norte,ENTREGADO
77,661,1,25,2023-07-16,2,106.01,TIENDA,Sur,PENDIENTE
78,325,38,30,2024-12-22,2,455.84,APP,Centro,ENTREGADO
79,304,40,10,2023-03-13,2,367.39,TIENDA,Sur,ENTREGADO
80,276,9,7,2023-02-16,4,102.24,TIENDA,Norte,CANCELADO
81,684,39,34,2024-11-08,1,450.47,APP,Norte,PENDIENTE
82,201,10,4,2023-08-22,2,138.47,APP,Centro,CANCELADO
83,445,29,22,2025-03-02,3,142.79,WEB,Sur,CANCELADO
84,324,40,29,2023-10-24,3,383.41,TIENDA,Centro,PENDIENTE
85,35,30,4,2023-03-23,1,316.01,WEB,Sur,ENTREGADO
86,482,2,1,2025-05-25,4,417.74,APP,Centro,CANCELADO
87,728,18,48,2023-08-27,3,209.24,WEB,Centro,PENDIENTE
88,480,28,23,2025-06-06,1,368.75,TIENDA,Centro,ENTREGADO
89,65,32,23,2023-04-14,3,284.78,WEB,Sur,ENTREGADO
90,8,24,6,2024-01-25,1,268.98,WEB,Sur,ENTREGADO
91,301,38,5,2023-10-12,3,322.27,APP,Norte,PENDIENTE
92,343,14,23,2024-04-09,4,457.7,APP,Norte,CANCELADO
93,431,25,38,2024-10-12,4,322.05,TIENDA,Sur,CANCELADO
94,424,25,7,2025-05-04,3,281.69,APP,Centro,CANCELADO
95,332,32,5,2024-01-09,3,492.64,TIENDA,Norte,ENTREGADO
96,438,27,33,2023-06-16,5,417.9,APP,Norte,CANCELADO
97,588,32,26,2024-01-15,2,26.21,WEB,Centro,CANCELADO
98,174,31,21,2023-12-30,4,134.31,WEB,Centro,ENTREGADO
99,559,24,34,2023-08-03,3,229.73,TIENDA,Norte,ENTREGADO
100,527,35,26,2024-11-17,2,232.13,WEB,Centro,CANCELADO
101,659,30,10,2023-10-01,3,477.58,APP,Sur,CANCELADO
102,26,33,2,2024-12-19,2,164.45,APP,Centro,CANCELADO
103,605,33,20,2024-11-30,2,485.64,TIENDA,Sur,PENDIENTE
104,406,27,14,2024-10-25,4,35.83,TIENDA,Norte,CANCELADO
105,232,33,7,2023-03-15,5,453.98,APP,Norte,PENDIENTE
106,533,33,10,2024-09-15,1,326.0,WEB,Norte,CANCELADO
107,550,4,31,2024-10-12,3,216.6,WEB,Centro,CANCELADO
108,788,30,8,2023-06-25,2,495.32,APP,Sur,ENTREGADO
109,505,15,1,2024-06-30,5,498.99,WEB,Norte,ENTREGADO
110,669,29,29,2025-01-16,2,221.56,TIENDA,Norte,PENDIENTE
111,179,28,31,2023-09-08,3,112.81,TIENDA,Norte,PENDIENTE
112,132,32,8,2023-06-17,1,239.23,WEB,Norte,PENDIENTE
113,455,36,16,2024-04-18,4,419.76,APP,Centro,ENTREGADO
114,348,30,46,2024-01-24,1,358.01,WEB,Sur,CANCELADO
115,540,38,19,2023-10-04,4,48.32,APP,Sur,PENDIENTE
116,772,12,26,2024-10-17,2,126.94,WEB,Centro,ENTREGADO
117,406,3,10,2024-12-05,5,243.65,APP,Sur,ENTREGADO
118,76,15,18,2024-07-24,4,480.06,APP,Norte,ENTREGADO
119,579,10,2,2023-08-13,2,316.06,WEB,Centro,CANCELADO
120,492,22,37,2024-12-02,3,44.32,APP,Sur,PENDIENTE
121,194,23,29,2023-11-29,3,204.11,APP,Sur,CANCELADO
122,162,11,2,2025-05-13,5,455.25,TIENDA,Centro,ENTREGADO
123,347,16,3,2025-02-25,5,262.85,WEB,Sur,ENTREGADO
124,361,16,24,2025-03-05,3,66.59,APP,Norte,PENDIENTE
125,769,14,9,2023-02-27,3,307.27,WEB,Norte,ENTREGADO
126,584,6,43,2023-08-23,4,345.19,APP,Centro,ENTREGADO
127,87,17,48,2025-04-21,5,381.31,WEB,Sur,ENTREGADO
128,262,31,14,2023-02-02,3,181.14,WEB,Sur,CANCELADO
129,214,10,46,2025-04-04,4,356.47,APP,Sur,CANCELADO
130,665,20,43,2023-11-20,2,173.68,TIENDA,Norte,PENDIENTE
131,722,9,11,2024-02-15,5,269.76,WEB,Sur,CANCELADO
132,573,15,50,2023-10-02,5,29.36,TIENDA,Sur,ENTREGADO
133,780,39,43,2023-03-09,3,343.57,APP,Centro,PENDIENTE
134,262,2,24,2023-08-05,3,201.61,TIENDA,Norte,CANCELADO
135,730,4,14,2025-07-24,3,358.41,APP,Sur,ENTREGADO
136,283,24,18,2024-08-03,3,482.9,WEB,Norte,PENDIENTE
137,648,18,36,2025-06-16,1,58.92,APP,Centro,CANCELADO
138,467,11,13,2025-01-05,3,432.52,WEB,Sur,PENDIENTE
139,380,37,34,2023-11-19,2,131.65,APP,Norte,PENDIENTE
140,362,26,19,2023-08-06,3,136.23,TIENDA,Centro,ENTREGADO
141,449,8,41,2024-11-02,3,128.5,WEB,Centro,PENDIENTE
142,441,22,11,2024-05-26,2,86.01,WEB,Sur,ENTREGADO
143,93,5,49,2024-02-10,4,114.14,TIENDA,Centro,PENDIENTE
144,621,2,26,2025-06-24,2,376.35,TIENDA,Centro,ENTREGADO
145,753,5,5,2025-07-25,5,388.86,TIENDA,Centro,CANCELADO
146,424,35,21,2024-10-20,2,481.4,TIENDA,Sur,PENDIENTE
147,142,32,9,2024-04-14,5,69.81,WEB,Centro,ENTREGADO
148,291,19,48,2023-05-27,1,92.28,WEB,Centro,ENTREGADO
149,432,39,12,2023-09-29,2,444.87,WEB,Sur,ENTREGADO
150,749,4,1,2023-05-23,4,291.0,APP,Centro,ENTREGADO
151,689,23,49,2023-09-10,1,281.68,APP,Centro,PENDIENTE
152,653,19,14,2025-02-01,3,390.53,TIENDA,Norte,CANCELADO
153,701,26,26,2024-07-28,4,285.43,TIENDA,Sur,ENTREGADO
154,49,26,7,2024-07-05,2,49.84,WEB,Norte,ENTREGADO
155,302,7,16,2023-09-27,2,451.6,APP,Norte,PENDIENTE
156,190,32,15,2025-02-03,4,84.28,TIENDA,Sur,PENDIENTE
157,136,33,4,2024-08-21,3,250.47,WEB,Norte,ENTREGADO
158,555,26,30,2024-03-14,3,194.98,TIENDA,Sur,CANCELADO
159,404,24,23,2025-07-08,1,197.54,APP,Centro,ENTREGADO
160,602,23,22,2024-08-20,4,156.43,APP,Centro,CANCELADO
161,341,38,15,2024-02-13,5,479.45,TIENDA,Norte,PENDIENTE
162,757,26,17,2024-01-06,4,60.37,TIENDA,Norte,CANCELADO
163,704,31,2,2023-08-13,3,405.19,TIENDA,Norte,ENTREGADO
164,318,6,8,2023-05-22,3,208.41,APP,Sur,PENDIENTE
165,618,31,6,2024-06-05,1,45.27,APP,Norte,ENTREGADO
166,363,40,39,2024-05-20,4,295.06,TIENDA,Norte,PENDIENTE
167,382,12,28,2023-04-04,2,198.66,WEB,Sur,PENDIENTE
168,233,17,48,2025-02-12,5,125.89,TIENDA,Sur,CANCELADO
169,777,26,5,2023-02-18,4,197.8,APP,Sur,PENDIENTE
170,344,3,21,2025-05-31,5,489.02,WEB,Norte,ENTREGADO
171,549,15,50,2023-04-23,4,387.64,APP,Centro,CANCELADO
172,553,38,20,2023-06-06,3,413.58,TIENDA,Centro,CANCELADO
173,529,24,43,2024-10-04,5,272.25,WEB,Centro,PENDIENTE
174,789,30,34,2023-06-13,4,161.83,WEB,Sur,CANCELADO
175,571,36,7,2025-03-22,2,283.14,WEB,Centro,PENDIENTE
176,183,27,30,2024-11-27,3,281.87,APP,Norte,PENDIENTE
177,41,22,30,2024-03-08,2,91.2,TIENDA,Sur,PENDIENTE
178,551,2,15,2024-09-02,1,337.75,APP,Sur,CANCELADO
179,397,7,27,2023-03-07,1,395.01,APP,Norte,PENDIENTE
180,704,16,9,2024-01-30,1,283.48,WEB,Sur,ENTREGADO
181,779,24,27,2024-01-26,3,210.49,APP,Norte,CANCELADO
182,494,30,2,2024-09-02,2,326.65,TIENDA,Centro,CANCELADO
183,659,1,36,2024-04-24,4,277.9,TIENDA,Sur,PENDIENTE
184,333,27,27,2024-06-25,3,59.88,WEB,Norte,CANCELADO
185,127,9,47,2023-09-15,4,199.74,WEB,Norte,ENTREGADO
186,558,7,40,2024-07-20,3,464.64,TIENDA,Sur,CANCELADO
187,557,5,25,2025-05-31,5,49.52,WEB,Sur,ENTREGADO
188,1,30,36,2023-01-12,1,156.23,TIENDA,Centro,PENDIENTE
189,168,27,40,2024-11-27,1,431.15,APP,Sur,ENTREGADO
190,620,10,7,2025-01-08,5,20.64,APP,Norte,CANCELADO
191,19,25,13,2023-04-28,2,471.76,APP,Sur,CANCELADO
192,332,18,37,2024-11-29,1,350.32,TIENDA,Centro,ENTREGADO
193,584,7,20,2025-06-25,1,201.97,WEB,Centro,PENDIENTE
194,456,31,22,2024-07-03,2,33.68,APP,Norte,ENTREGADO
195,109,32,18,2025-02-07,2,41.91,TIENDA,Centro,ENTREGADO
196,268,11,11,2023-10-01,5,161.87,APP,Norte,CANCELADO
197,445,10,6,2025-02-26,1,336.38,APP,Centro,CANCELADO
198,240,22,4,2024-10-18,5,52.29,APP,Centro,ENTREGADO
199,301,31,3,2023-12-15,3,443.19,APP,Centro,ENTREGADO
200,602,14,6,2023-04-25,2,431.67,TIENDA,Norte,PENDIENTE
201,103,3,15,2023-10-28,2,156.88,APP,Sur,ENTREGADO
202,250,24,3,2024-03-21,1,113.34,TIENDA,Sur,PENDIENTE
203,453,14,17,2023-06-11,4,226.12,APP,Centro,ENTREGADO
204,520,16,30,2024-04-09,5,155.52,APP,Norte,PENDIENTE
205,153,28,22,2023-01-04,2,476.2,TIENDA,Sur,PENDIENTE
206,174,35,2,2025-01-09,2,299.7,TIENDA,Sur,CANCELADO
207,343,40,16,2025-06-15,1,373.32,WEB,Centro,CANCELADO
208,670,2,22,2025-01-06,1,274.69,APP,Sur,CANCELADO
209,431,34,49,2023-09-27,4,421.58,APP,Centro,ENTREGADO
210,727,18,11,2024-05-27,3,66.93,WEB,Centro,CANCELADO
211,689,7,36,2025-02-19,3,366.9,TIENDA,Sur,PENDIENTE
212,687,38,12,2023-07-02,1,388.43,APP,Sur,CANCELADO
213,658,7,40,2024-06-03,4,192.94,WEB,Centro,CANCELADO
214,324,4,35,2025-07-23,1,61.0,WEB,Sur,ENTREGADO
215,673,16,43,2023-04-19,3,333.58,APP,Centro,ENTREGADO
216,639,6,45,2025-06-10,5,165.97,APP,Centro,ENTREGADO
217,420,20,41,2024-10-02,2,300.15,WEB,Norte,PENDIENTE
218,594,31,15,2023-11-02,2,442.89,WEB,Norte,ENTREGADO
219,485,19,44,2025-05-11,4,419.35,TIENDA,Centro,CANCELADO
220,659,22,42,2024-10-16,3,296.43,WEB,Norte,PENDIENTE
221,751,21,21,2024-06-03,4,72.12,TIENDA,Norte,PENDIENTE
222,412,18,4,2024-09-15,4,234.8,TIENDA,Sur,CANCELADO
223,84,32,7,2023-07-23,4,368.4,APP,Norte,PENDIENTE
224,113,34,29,2023-06-06,2,292.16,APP,Norte,PENDIENTE
225,737,27,41,2024-01-18,4,178.06,WEB,Centro,PENDIENTE
226,332,38,6,2025-02-19,3,168.03,APP,Norte,CANCELADO
227,378,30,39,2023-06-15,3,345.66,TIENDA,Sur,PENDIENTE
228,755,33,17,2024-07-06,5,323.21,WEB,Sur,ENTREGADO
229,655,27,36,2025-03-08,3,304.28,APP,Centro,ENTREGADO
230,41,23,2,2024-06-27,2,476.96,APP,Centro,CANCELADO
231,770,19,17,2025-07-29,3,449.52,WEB,Centro,ENTREGADO
232,797,31,29,2023-01-01,1,170.73,APP,Centro,PENDIENTE
233,105,4,27,2024-09-05,4,139.51,WEB,Norte,CANCELADO
234,202,19,7,2023-11-28,5,462.91,TIENDA,Norte,CANCELADO
235,450,38,11,2024-05-15,1,119.99,WEB,Centro,ENTREGADO
236,266,40,26,2023-01-20,3,489.04,APP,Centro,CANCELADO
237,210,22,50,2023-04-25,3,123.41,WEB,Norte,ENTREGADO
238,563,9,39,2024-01-07,4,71.97,APP,Norte,ENTREGADO
239,118,31,32,2025-06-18,4,207.52,TIENDA,Sur,CANCELADO
240,713,10,50,2025-05-01,2,452.47,TIENDA,Sur,PENDIENTE
241,377,10,23,2025-04-06,5,371.05,WEB,Centro,CANCELADO
242,551,30,46,2023-11-11,2,307.32,WEB,Centro,ENTREGADO
243,540,10,40,2023-09-03,3,356.75,APP,Norte,ENTREGADO
244,771,36,7,2023-03-01,5,269.68,WEB,Sur,CANCELADO
245,84,18,1,2023-09-04,5,172.56,WEB,Sur,ENTREGADO
246,454,19,25,2025-06-18,2,258.56,WEB,Norte,ENTREGADO
247,667,23,31,2024-08-03,3,202.3,APP,Sur,ENTREGADO
248,629,4,6,2023-03-22,3,388.65,WEB,Sur,CANCELADO
249,514,12,28,2023-03-29,2,100.03,WEB,Norte,CANCELADO
250,605,24,31,2025-01-19,5,235.93,TIENDA,Sur,PENDIENTE
251,678,13,36,2024-05-12,5,71.2,TIENDA,Norte,ENTREGADO
252,387,4,16,2025-04-15,1,40.78,WEB,Sur,CANCELADO
253,350,27,15,2023-03-12,2,131.58,TIENDA,Centro,CANCELADO
254,296,38,22,2025-02-17,3,97.3,WEB,Centro,ENTREGADO
255,258,39,18,2024-06-29,1,395.29,APP,Norte,PENDIENTE
256,81,8,50,2025-02-23,2,97.0,WEB,Centro,CANCELADO
257,268,26,8,2023-05-09,5,342.73,APP,Sur,CANCELADO
258,419,34,10,2023-05-12,4,261.38,APP,Sur,ENTREGADO
259,235,9,37,2024-11-06,2,193.34,WEB,Centro,ENTREGADO
260,311,10,39,2024-05-01,5,49.6,APP,Sur,PENDIENTE
261,357,1,49,2024-07-16,4,220.12,WEB,Sur,ENTREGADO
262,213,8,6,2023-06-19,3,292.98,WEB,Norte,PENDIENTE
263,574,10,43,2023-09-29,4,76.5,TIENDA,Sur,CANCELADO
264,49,25,10,2024-06-24,3,456.63,WEB,Norte,CANCELADO
265,127,31,39,2025-06-12,4,73.18,TIENDA,Norte,CANCELADO
266,223,39,7,2024-09-13,5,418.68,APP,Norte,PENDIENTE
267,279,3,42,2024-03-09,1,395.96,TIENDA,Centro,CANCELADO
268,408,39,45,2023-08-05,3,444.65,TIENDA,Sur,ENTREGADO
269,505,38,35,2024-07-06,2,70.95,TIENDA,Sur,ENTREGADO
270,294,35,28,2025-02-12,4,240.89,TIENDA,Centro,ENTREGADO
271,796,8,25,2025-01-17,2,170.97,WEB,Centro,PENDIENTE
272,277,1,28,2024-12-07,3,349.12,WEB,Sur,CANCELADO
273,438,5,9,2023-07-25,3,109.82,TIENDA,Norte,ENTREGADO
274,107,27,5,2024-12-31,4,63.19,TIENDA,Norte,CANCELADO
275,658,26,16,2023-11-16,2,125.03,TIENDA,Centro,ENTREGADO
276,420,26,29,2024-02-13,1,496.13,WEB,Norte,ENTREGADO
277,611,11,43,2024-11-18,1,142.4,APP,Norte,PENDIENTE
278,429,34,23,2024-10-27,1,157.57,TIENDA,Sur,ENTREGADO
279,375,2,18,2024-01-18,1,366.49,WEB,Sur,CANCELADO
280,73,21,26,2024-03-24,1,169.64,TIENDA,Sur,PENDIENTE
281,634,26,47,2025-07-10,4,273.64,TIENDA,Centro,ENTREGADO
282,30,12,5,2024-06-13,1,380.41,TIENDA,Sur,PENDIENTE
283,188,9,8,2024-04-07,3,180.73,APP,Norte,PENDIENTE
284,364,23,40,2023-05-04,3,193.13,TIENDA,Sur,ENTREGADO
285,800,5,19,2023-09-11,4,127.18,WEB,Sur,CANCELADO
286,451,9,37,2023-08-19,1,379.96,WEB,Norte,CANCELADO
287,195,10,28,2023-03-07,4,496.6,WEB,Centro,PENDIENTE
288,156,10,4,2023-12-13,4,49.94,APP,Norte,ENTREGADO
289,172,14,20,2023-01-22,5,215.37,TIENDA,Sur,ENTREGADO
290,41,36,50,2024-08-25,3,184.77,WEB,Sur,CANCELADO
291,63,10,22,2024-07-21,2,190.31,WEB,Centro,CANCELADO
292,23,37,12,2023-08-24,4,271.63,APP,Norte,ENTREGADO
293,360,38,1,2024-08-25,4,336.17,TIENDA,Centro,CANCELADO
294,75,22,8,2023-08-14,4,255.78,APP,Sur,PENDIENTE
295,560,23,41,2023-01-08,1,385.47,TIENDA,Norte,CANCELADO
296,672,16,27,2023-03-14,2,50.37,APP,Norte,CANCELADO
297,118,11,21,2024-12-25,1,404.35,TIENDA,Norte,ENTREGADO
298,612,35,45,2024-10-08,1,443.7,TIENDA,Norte,CANCELADO
299,380,20,33,2023-03-02,2,306.78,APP,Centro,CANCELADO
300,679,37,38,2023-08-23,5,173.51,WEB,Sur,ENTREGADO
301,290,5,33,2023-03-11,3,247.45,TIENDA,Sur,ENTREGADO
302,440,36,46,2025-07-16,3,305.8,WEB,Centro,PENDIENTE
303,668,13,37,2023-02-02,3,402.22,APP,Norte,CANCELADO
304,7,17,45,2025-05-30,1,396.26,WEB,Centro,ENTREGADO
305,196,26,5,2023-12-05,1,186.71,WEB,Centro,ENTREGADO
306,421,20,15,2023-03-14,1,227.86,WEB,Centro,ENTREGADO
307,568,39,30,2024-06-10,5,387.33,APP,Sur,CANCELADO
308,193,33,3,2023-09-01,1,225.61,TIENDA,Sur,ENTREGADO
309,559,30,28,2023-10-13,2,324.9,TIENDA,Sur,CANCELADO
310,148,16,30,2024-11-16,1,493.72,TIENDA,Norte,ENTREGADO
311,787,7,36,2024-05-12,1,423.48,TIENDA,Centro,ENTREGADO
312,669,30,3,2023-08-08,4,124.65,APP,Centro,ENTREGADO
313,202,2,44,2024-07-06,2,217.68,TIENDA,Sur,ENTREGADO
314,444,12,31,2023-05-16,4,281.72,APP,Sur,ENTREGADO
315,419,40,14,2025-01-10,4,307.1,WEB,Norte,CANCELADO
316,427,1,6,2025-06-22,1,162.96,WEB,Centro,PENDIENTE
317,479,3,19,2024-08-07,5,461.46,WEB,Norte,CANCELADO
318,475,8,5,2024-08-13,2,456.75,TIENDA,Norte,PENDIENTE
319,126,26,49,2024-04-29,1,98.67,WEB,Centro,PENDIENTE
320,395,40,26,2023-09-06,3,466.27,TIENDA,Sur,CANCELADO
321,576,11,50,2025-03-14,3,233.79,WEB,Norte,PENDIENTE
322,325,21,44,2024-04-29,5,230.34,WEB,Centro,PENDIENTE
323,392,5,18,2025-04-06,2,107.72,WEB,Sur,PENDIENTE
324,688,40,37,2024-02-21,2,60.27,WEB,Sur,CANCELADO
325,628,26,45,2023-07-14,4,139.26,WEB,Centro,CANCELADO
326,440,21,36,2023-04-07,3,442.44,APP,Centro,ENTREGADO
327,204,9,31,2023-04-10,3,215.36,TIENDA,Centro,ENTREGADO
328,486,17,18,2024-11-05,3,461.42,WEB,Sur,ENTREGADO
329,31,37,9,2024-03-17,2,307.86,WEB,Norte,PENDIENTE
330,388,2,26,2023-12-29,1,23.95,TIENDA,Norte,CANCELADO
331,625,40,2,2024-03-09,3,178.8,TIENDA,Norte,ENTREGADO
332,434,28,32,2024-02-25,3,81.24,APP,Norte,CANCELADO
333,376,27,42,2024-04-23,5,377.84,TIENDA,Norte,CANCELADO
334,344,40,45,2025-06-03,4,344.97,WEB,Sur,PENDIENTE
335,443,1,6,2025-01-16,5,129.68,APP,Sur,ENTREGADO
336,579,11,20,2023-02-25,1,120.12,WEB,Centro,PENDIENTE
337,75,39,8,2024-11-20,5,453.2,TIENDA,Norte,PENDIENTE
338,557,18,45,2024-10-31,5,76.35,TIENDA,Sur,PENDIENTE
339,772,27,4,2024-10-23,3,35.85,APP,Sur,CANCELADO
340,666,10,25,2023-04-11,3,195.81,WEB,Sur,PENDIENTE
341,155,36,31,2023-03-04,4,290.62,WEB,Norte,PENDIENTE
342,430,21,19,2024-02-17,4,461.16,APP,Centro,PENDIENTE
343,363,28,7,2025-01-15,5,457.54,WEB,Centro,CANCELADO
344,448,1,47,2023-12-14,2,87.01,TIENDA,Sur,PENDIENTE
345,234,14,37,2025-03-30,2,397.74,APP,Centro,PENDIENTE
346,563,20,30,2025-06-01,4,468.53,TIENDA,Norte,CANCELADO
347,262,9,27,2023-04-22,1,420.09,APP,Sur,CANCELADO
348,125,27,17,2023-09-12,4,218.83,APP,Sur,PENDIENTE
349,245,4,32,2023-07-16,5,119.72,TIENDA,Sur,ENTREGADO
350,542,37,19,2023-07-14,2,459.48,APP,Centro,ENTREGADO
351,485,18,25,2024-07-03,5,275.37,APP,Norte,ENTREGADO
352,122,31,29,2024-04-04,1,141.51,WEB,Centro,PENDIENTE
353,125,39,25,2023-05-24,3,175.29,APP,Centro,PENDIENTE
354,549,10,32,2024-03-08,4,289.63,WEB,Centro,PENDIENTE
355,170,9,37,2023-07-07,3,214.98,WEB,Centro,PENDIENTE
356,124,28,11,2023-10-13,2,39.21,APP,Sur,PENDIENTE
357,35,28,4,2024-04-18,1,295.7,TIENDA,Centro,PENDIENTE
358,87,13,46,2023-09-13,5,214.81,APP,Centro,PENDIENTE
359,646,18,31,2025-06-14,4,247.26,APP,Centro,CANCELADO
360,708,12,36,2023-03-19,2,381.28,APP,Sur,CANCELADO
361,786,8,4,2024-03-29,1,32.33,APP,Centro,PENDIENTE
362,201,23,2,2025-04-07,5,51.54,WEB,Sur,ENTREGADO
363,369,5,39,2025-06-01,5,20.49,APP,Centro,CANCELADO
364,797,7,33,2025-05-26,2,223.85,APP,Norte,ENTREGADO
365,77,15,44,2024-07-17,5,154.62,APP,Norte,CANCELADO
366,59,3,27,2023-04-11,3,216.54,WEB,Norte,ENTREGADO
367,431,18,26,2023-02-21,3,297.06,TIENDA,Centro,PENDIENTE
368,638,38,19,2024-10-29,1,23.99,TIENDA,Centro,ENTREGADO
369,500,26,44,2024-07-07,3,96.04,APP,Sur,PENDIENTE
370,109,38,41,2025-05-06,2,81.29,WEB,Norte,PENDIENTE
371,736,33,39,2023-01-16,1,318.16,TIENDA,Norte,CANCELADO
372,278,21,33,2023-04-06,4,303.78,WEB,Centro,ENTREGADO
373,68,17,38,2025-02-10,5,57.22,APP,Centro,ENTREGADO
374,69,2,10,2025-05-19,3,404.75,APP,Sur,PENDIENTE
375,165,25,1,2023-08-31,4,97.28,TIENDA,Centro,PENDIENTE
376,489,19,50,2023-06-20,5,103.06,WEB,Sur,PENDIENTE
